국가,수도,치안,물가,검색량,교통,총점
터키,앙카라,3,720101.2,260400,2.5,374.2967466666667
토고,로메,4,7574.6,3820,5.2,401.4069733333333
통가,누쿠알로파,2,512.4,6190,5.9,201.24316000000002
투르크메니스탄,아슈하바트,2,45231.4,13130,3.1,204.63842666666665
투발루,푸나푸티,2,48.9,8180,5.4,201.36126000000002
튀니지,튀니스,3,39235.7,27530,2.8,305.6487133333333
트리니다드토바고,포트오브스페인,4,21529.8,3980,4.9,402.32332
파나마,파나마시티,4,52938.1,15610,6.6,405.75020666666666
파라과이,아순시온,4,35304.2,387100,4.5,441.5136133333333
파키스탄,이슬라마바드,3,263686.6,34110,4.7,321.4601066666667
파푸아뉴기니,포트모르즈비,2,23591.5,10990,2.1,202.88176666666666
팔라우,멜레케오크,5,268.4,51860,4.9,505.69389333333334
팔레스타인,라말라,3,15560,11940,4.4,302.67133333333334
페루,리마,3,202014.4,27350,3.1,316.5126266666667
포르투갈,리스본,5,231255.6,83800,7.0,524.4970400000001
폴란드,바르샤바,4,594164.7,63800,5.6,446.55098
프랑스,파리,4,2603004.4,123100,4.6,586.3036266666667
피지,수바,4,4376,21450,5.1,402.9467333333333
핀란드,헬싱키,5,271233.9,41410,5.3,522.75326
필리핀,마닐라,1,361489.4,103900,1.0,134.58929333333333
헝가리,부다페스트,4,155012.9,46710,5.1,415.51519333333334
호주,캔버라,5,1330900.9,33950,2.8,592.4017266666666
홍콩(중국),홍콩,2,346585.9,63800,3.6,229.84572666666668
